,Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action,Security,SEC filings,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
0,AAPL,Apple Inc,Common stocks,Large cap,Information Technology,"$2,359,332,980,580 ",0.61%,0,0,0,Analyze,Apple Inc.,reports,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/82,320193,1977
1,MSFT,Microsoft Corp,Common stocks,Large cap,Information Technology,"$1,898,579,765,045 ",0.99%,0,0,0,Analyze,Microsoft,reports,Systems Software,"Redmond, Washington",6/1/94,789019,1975
2,GOOG,Alphabet Inc Class C,Common stocks,Large cap,Communication Services,"$1,219,603,350,000 ",0.00%,0,0,0,Analyze,Alphabet Inc. (Class C),reports,Interactive Media & Services,"Mountain View, California",4/3/06,1652044,1998
3,GOOGL,Alphabet Inc Class A,Common stocks,Large cap,Communication Services,"$1,219,603,350,000 ",0.00%,0,0,0,Analyze,Alphabet Inc. (Class A),reports,Interactive Media & Services,"Mountain View, California",4/3/14,1652044,1998
4,AMZN,Amazon.Com Inc.,Common stocks,Large cap,Consumer Discretionary,"$974,257,973,808 ",0.00%,0,0,0,Analyze,Amazon,reports,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/05,1018724,1994
6,TSLA,Tesla Inc,Common stocks,Large cap,Consumer Discretionary,"$610,086,617,762 ",0.00%,0,0,0,Analyze,"Tesla, Inc.",reports,Automobile Manufacturers,"Austin, Texas",12/21/20,1318605,2003
7,UNH,Unitedhealth Group Inc,Common stocks,Large cap,Health Care,"$501,661,360,784 ",1.15%,0,0,0,Analyze,UnitedHealth Group,reports,Managed Health Care,"Minnetonka, Minnesota",7/1/94,731766,1977
8,JNJ,Johnson & Johnson,Common stocks,Large cap,Health Care,"$467,312,799,915 ",2.47%,0,0,0,Analyze,Johnson & Johnson,reports,Pharmaceuticals,"New Brunswick, New Jersey",6/30/73,200406,1886
9,XOM,Exxon Mobil Corp,Common stocks,Large cap,Energy,"$456,306,911,047 ",3.16%,0,0,0,Analyze,ExxonMobil,reports,Integrated Oil & Gas,"Irving, Texas",3/4/57,34088,1999
10,NVDA,Nvidia Corp,Common stocks,Large cap,Information Technology,"$426,661,500,000 ",0.09%,0,0,0,Analyze,Nvidia,reports,Semiconductors,"Santa Clara, California",11/30/01,1045810,1993
